difficulty_level,num_session,num_rand,level_loop.thisRepN,level_loop.thisTrialN,level_loop.thisN,level_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,ratings.thisRepN,ratings.thisTrialN,ratings.thisN,ratings.thisIndex,start_time_stamp,True_ans,stim_start,press_key_time,stim_end,key_resp.keys,key_resp.corr,key_resp.rt,accuracy,diff,rating_effort.response,rating_difficulty.response,rating_attention.response,participant,replicate,date,expName,psychopyVersion,frameRate,
low,1,10,0,0,0,0,0,0,0,0,,,,,1663127025621,left,4.404923000000053,5.418685790999916,6.914705625000352,left,1,0.9411186240004099,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,1,0,1,0,,,,,,right,7.437812333000693,8.447484708000047,9.947462541000277,right,1,0.9613844989999052,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,2,0,2,0,,,,,,left,10.465580166000109,11.446889415999976,12.981246958000156,left,1,0.9292740830005641,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,3,0,3,0,,,,,,left,13.449021291000463,14.380852666000465,15.969572125000013,left,1,0.8869119159999173,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,4,0,4,0,,,,,,left,16.399187333000555,17.19772925000052,18.914442582999982,left,1,0.7508827909996398,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,5,0,5,0,,,,,,left,19.51550166600009,20.4129132500002,22.03149941600077,left,1,0.854474540999945,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,6,0,6,0,,,,,,right,22.49891508300061,23.514419957999962,25.01372054100011,right,1,0.9540862069998184,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,7,0,7,0,,,,,,left,25.532445415999973,26.28616108300048,28.04797383300047,left,1,0.7107536249995974,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,8,0,8,0,,,,,,left,28.58730933300012,29.46451100000013,31.0986360830002,left,1,0.820828290999998,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,9,0,9,0,,,,,,left,31.550707583000076,32.34805216600034,34.06920316600008,left,1,0.7567221659992356,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,100.0,low,None,1.0,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,None,None,4.0,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,4.0,None,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,0,0,0,0,,,,,,left,60.21358370800044,61.08410191600069,62.7136459580006,left,1,0.8360476660000131,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,1,0,1,0,,,,,,left,63.19713416600007,63.93238550000024,65.69844591600031,left,1,0.6846250830003555,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,2,0,2,0,,,,,,right,66.13593687499997,66.91393641600007,68.65310500000032,right,1,0.7301663320004081,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,3,0,3,0,,,,,,right,69.08169420800004,70.18249145800019,71.59758941600012,right,1,1.0510075820002385,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,4,0,4,0,,,,,,left,72.08367370800079,73.19748316599998,74.60357662500064,right,0,1.0674342080001225,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,5,0,5,0,,,,,,left,75.10003770799995,76.31897116600067,77.60361125000054,left,1,1.1673664989993995,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,6,0,6,0,,,,,,right,78.18225862500003,80.01411175000067,80.70284408299995,right,1,1.7890092490006282,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,7,0,7,0,,,,,,right,81.13696645800064,82.2477438750002,83.64823904100012,right,1,1.0714213739993284,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,8,0,8,0,,,,,,right,84.12196850000055,85.21881933300028,86.63637812500019,left,0,1.047192166000059,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,9,0,9,0,,,,,,right,87.19983029100058,88.68074204100049,89.703705291,right,1,1.4247226659999797,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,,,,,0,0,0,0,,,,,,,,,80.0,low,None,2.0,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,,,,,1,0,1,0,,,,,,,,,,,None,None,2.0,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,1,1,1,,,,,2,0,2,0,,,,,,,,,,,2.0,None,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,0,0,0,0,,,,,,right,104.09926966600051,105.56361904100049,106.60071825000068,right,1,1.427604624000196,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,1,0,1,0,,,,,,right,107.01755670800048,107.98064204100046,109.51376362500014,right,1,0.9319986659993447,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,2,0,2,0,,,,,,left,110.04774012500002,111.0135130410008,112.54792458300017,left,1,0.9229018330006511,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,3,0,3,0,,,,,,right,113.03300775000025,114.28118495800027,115.53224737500022,right,1,1.2031339989998742,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,4,0,4,0,,,,,,right,116.04870070800007,117.03215887500028,118.56473958300012,right,1,0.938310540999737,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,5,0,5,0,,,,,,right,119.0821894160008,120.31365137500052,121.59823437500017,right,1,1.1985288320001928,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,6,0,6,0,,,,,,right,122.0492075000002,123.01628487500057,124.54858358300044,right,1,0.9217347080002583,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,7,0,7,0,,,,,,left,125.0656422080001,126.23102112500055,127.56594737500018,left,1,1.1209524160003639,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,8,0,8,0,,,,,,left,128.0187719580008,128.73015612500058,130.53494783299993,left,1,0.6677443750004386,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,9,0,9,0,,,,,,left,131.0835803330001,132.1167297080001,133.59778137500052,left,1,0.9903147489994808,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,,,,,0,0,0,0,,,,,,,,,100.0,low,None,2.0,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,,,,,1,0,1,0,,,,,,,,,,,None,None,4.0,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,2,2,2,,,,,2,0,2,0,,,,,,,,,,,3.0,None,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,0,0,0,0,,,,,,left,144.16690450000078,145.66457062500103,146.6646948330008,left,1,1.4621364579998044,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,1,0,1,0,,,,,,right,147.13173054100025,148.9007928330002,149.6312753330012,right,1,1.727503665999393,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,2,0,2,0,,,,,,right,150.0815366249999,151.20062195800074,152.58203533300093,right,1,1.0776574989995424,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,3,0,3,0,,,,,,right,153.20093908299987,154.70109350000075,155.7181128330003,right,1,1.448717666000448,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,4,0,4,0,,,,,,left,156.18243429099948,156.86442799999986,158.69810645800044,left,1,0.6414751239990437,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,5,0,5,0,,,,,,left,159.13268150000022,160.28110995800034,161.63320691600074,left,1,1.103216749999774,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,6,0,6,0,,,,,,right,162.06520170800013,163.66468870799963,164.56485437500032,right,1,1.5615777080001862,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,7,0,7,0,,,,,,right,165.01435862500057,166.4305334999999,167.5184820830009,right,1,1.3793954989996564,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,8,0,8,0,,,,,,right,167.93107937500008,169.96405883300122,170.4312281249995,right,1,1.9986811660000967,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,9,0,9,0,,,,,,right,171.0175078330003,173.04818533300113,173.51668400000108,left,0,1.9870607070006372,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,,,,,0,0,0,0,,,,,,,,,90.0,low,None,3.0,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,,,,,1,0,1,0,,,,,,,,,,,4.0,None,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,3,3,3,,,,,2,0,2,0,,,,,,,,,,,None,None,4.0,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,0,0,0,0,,,,,,left,188.232008375001,189.51648983299947,190.73098808300074,left,1,1.2515137909995246,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,1,0,1,0,,,,,,left,191.2177883329996,192.16407816599985,193.7143506250004,left,1,0.9082087910010159,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,2,0,2,0,,,,,,left,194.31469483300043,195.44740641599947,196.8168359580004,left,1,1.08783879099974,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,3,0,3,0,,,,,,left,197.3014624159996,198.4474232500006,199.8004542080007,left,1,1.1128471240008366,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,4,0,4,0,,,,,,right,200.36602949999997,202.06403020800008,202.86476208300064,right,1,1.6616574990002846,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,5,0,5,0,,,,,,right,203.43351662500118,205.0002942910005,205.93305995799983,right,1,1.5232492909999564,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,6,0,6,0,,,,,,left,206.48189995800112,207.8011274999999,208.98212295800022,left,1,1.2699101660000451,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,7,0,7,0,,,,,,left,209.54879237499972,210.84790220800005,212.0486346660009,left,1,1.2627337080011785,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,8,0,8,0,,,,,,left,212.51824645800025,213.2651149580006,215.01454366599955,left,1,0.7128702499994688,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,9,0,9,0,,,,,,right,215.58155637500113,,218.08171187500102,None,0,,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,,,,,0,0,0,0,,,,,,,,,90.0,low,3.0,None,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,,,,,1,0,1,0,,,,,,,,,,,None,None,4.0,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
low,1,10,0,4,4,4,,,,,2,0,2,0,,,,,,,,,,,None,3.0,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,0,0,0,0,,,,,,right,235.3013460000011,236.74791925000045,237.80122374999974,right,1,1.4141749999998865,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,1,0,1,0,,,,,,right,238.40131870800087,239.91711212500104,240.9179051250003,right,1,1.482195832000798,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,2,0,2,0,,,,,,left,241.36529529100062,243.18146254099975,243.86521654100125,left,1,1.781852082000114,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,3,0,3,0,,,,,,right,244.45124300000043,246.66456741599995,246.9482217499999,right,1,2.1708681660002185,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,4,0,4,0,,,,,,right,247.5318246249999,249.33371920800073,250.03452704100073,right,1,1.7592350819995772,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,5,0,5,0,,,,,,left,250.54844520800089,252.70233783300046,253.0484150830007,left,1,2.102628831999027,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,6,0,6,0,,,,,,right,253.56551016600042,255.58152345799954,256.06523262500104,right,1,1.9817980000007083,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,7,0,7,0,,,,,,right,256.64898004100087,258.5015355000005,259.148456625001,right,1,1.810817331999715,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,8,0,8,0,,,,,,right,259.56531025000095,261.96518158300114,262.06482279099964,left,0,2.365602456999113,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,9,0,9,0,,,,,,left,262.54883970799983,264.36509433300034,265.04825666600027,left,1,1.7665195409990702,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,,,,,0,0,0,0,,,,,,,,,90.0,medium,4.0,None,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,,,,,1,0,1,0,,,,,,,,,,,None,None,4.0,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,5,5,5,,,,,2,0,2,0,,,,,,,,,,,None,4.0,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,0,0,0,0,,,,,,right,275.54896466599985,277.1174039999996,278.04874845799986,right,1,1.5345547910001187,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,1,0,1,0,,,,,,left,278.6344053750008,280.14806512500127,281.1337358330011,left,1,1.4747979580006358,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,2,0,2,0,,,,,,left,281.5825414159999,284.0176568750003,284.10172291599974,left,1,2.394463373999315,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,3,0,3,0,,,,,,right,284.6017230000007,286.1173852080001,287.1018517910006,right,1,1.4746608329987794,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,4,0,4,0,,,,,,right,287.5823812080007,289.5170717080009,290.0825181250011,right,1,1.8976873739993607,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,5,0,5,0,,,,,,left,290.53406354100025,,293.0483734159998,None,0,,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,6,0,6,0,,,,,,left,293.6335773330002,295.115245416001,296.1349403329996,left,1,1.450774208000439,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,7,0,7,0,,,,,,left,296.7179840409999,298.23407937499996,299.2177214579997,left,1,1.4719624989993463,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,8,0,8,0,,,,,,left,299.8158931250009,301.1319355000005,302.31732604100125,left,1,1.2817166240001825,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,9,0,9,0,,,,,,right,302.8350558330012,304.58188029100074,305.3342681660006,right,1,1.7073097489992506,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,,,,,0,0,0,0,,,,,,,,,90.0,medium,None,3.0,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,,,,,1,0,1,0,,,,,,,,,,,None,None,4.0,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,6,6,6,,,,,2,0,2,0,,,,,,,,,,,4.0,None,None,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,7,7,7,0,0,0,0,,,,,,right,315.10192229100085,316.3017664580011,317.61834974999965,right,1,1.150157541000226,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,7,7,7,1,0,1,0,,,,,,right,318.14944987500076,319.465228,320.6478513330012,right,1,1.2703477079994627,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,7,7,7,2,0,2,0,,,,,,right,321.0656874160004,323.08228487500037,323.5656211659998,right,1,1.9697351240010903,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
medium,1,10,0,7,7,7,3,0,3,0,,,,,,left,324.1344643750008,325.71534629100006,326.63401095800054,left,1,1.543310166000083,,,,,,jim,1,2022_Sep_14_1143,Mentalrotate-exp,2021.2.3,60.58924543785035,
